Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
L6GF6Z26CV7BM,2026-02-15,8,13.5,10.25,2
L6GF6Z26CV7BM,2026-02-15,9,55.0,38.5,4
L6GF6Z26CV7BM,2026-02-15,10,75.5,54.5,8
L6GF6Z26CV7BM,2026-02-15,11,179.0,139.5,17
L6GF6Z26CV7BM,2026-02-15,12,221.0,203.5,25
L6GF6Z26CV7BM,2026-02-15,13,346.35,289.35,32
L6GF6Z26CV7BM,2026-02-15,14,411.9,355.4,47
L6GF6Z26CV7BM,2026-02-15,15,604.9,553.2,54
L6GF6Z26CV7BM,2026-02-15,16,307.0,310.3,33
L6GF6Z26CV7BM,2026-02-15,17,299.4,254.76,33
L6GF6Z26CV7BM,2026-02-15,18,195.0,197.75,26
