Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
L6GF6Z26CV7BM,2026-03-20,7,55.5,51.0,8
L6GF6Z26CV7BM,2026-03-20,8,42.95,40.45,7
L6GF6Z26CV7BM,2026-03-20,9,119.5,95.0,15
L6GF6Z26CV7BM,2026-03-20,10,180.5,178.3,21
L6GF6Z26CV7BM,2026-03-20,11,218.45,202.1,24
L6GF6Z26CV7BM,2026-03-20,12,283.95,269.5,27
L6GF6Z26CV7BM,2026-03-20,13,211.0,182.15,25
L6GF6Z26CV7BM,2026-03-20,14,311.5,315.9,40
L6GF6Z26CV7BM,2026-03-20,15,320.8,318.5,29
L6GF6Z26CV7BM,2026-03-20,16,204.0,193.5,26
L6GF6Z26CV7BM,2026-03-20,17,319.95,253.65,32
L6GF6Z26CV7BM,2026-03-20,18,300.4,284.15,26
L6GF6Z26CV7BM,2026-03-20,19,108.9,108.95,16
