Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
L6GF6Z26CV7BM,2026-03-18,7,40.5,38.5,6
L6GF6Z26CV7BM,2026-03-18,8,184.95,165.3,24
L6GF6Z26CV7BM,2026-03-18,9,136.5,119.5,19
L6GF6Z26CV7BM,2026-03-18,10,153.0,139.85,17
L6GF6Z26CV7BM,2026-03-18,11,151.5,136.8,22
L6GF6Z26CV7BM,2026-03-18,12,327.45,302.2,36
L6GF6Z26CV7BM,2026-03-18,13,422.0,388.2,45
L6GF6Z26CV7BM,2026-03-18,14,333.5,328.1,47
L6GF6Z26CV7BM,2026-03-18,15,200.0,181.15,26
L6GF6Z26CV7BM,2026-03-18,16,315.5,303.85,31
L6GF6Z26CV7BM,2026-03-18,17,245.5,236.85,30
L6GF6Z26CV7BM,2026-03-18,18,245.5,241.55,26
L6GF6Z26CV7BM,2026-03-18,19,211.5,193.5,18
