Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
L6GF6Z26CV7BM,2026-02-18,7,16.0,8.0,2
L6GF6Z26CV7BM,2026-02-18,8,107.5,91.9,14
L6GF6Z26CV7BM,2026-02-18,9,106.0,85.35,13
L6GF6Z26CV7BM,2026-02-18,10,126.0,100.4,13
L6GF6Z26CV7BM,2026-02-18,11,92.5,92.0,13
L6GF6Z26CV7BM,2026-02-18,12,161.9,156.7,22
L6GF6Z26CV7BM,2026-02-18,13,199.4,124.5,15
L6GF6Z26CV7BM,2026-02-18,14,176.5,125.7,17
L6GF6Z26CV7BM,2026-02-18,15,174.95,158.3,16
L6GF6Z26CV7BM,2026-02-18,16,135.5,121.45,17
L6GF6Z26CV7BM,2026-02-18,17,101.0,79.95,11
L6GF6Z26CV7BM,2026-02-18,18,92.5,85.35,10
L6GF6Z26CV7BM,2026-02-18,19,52.0,53.5,7
