Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
L6GF6Z26CV7BM,2026-03-25,7,83.5,25.0,4
L6GF6Z26CV7BM,2026-03-25,8,180.5,165.35,29
L6GF6Z26CV7BM,2026-03-25,9,378.45,258.7,19
L6GF6Z26CV7BM,2026-03-25,10,139.45,144.7,20
L6GF6Z26CV7BM,2026-03-25,11,155.5,156.2,20
L6GF6Z26CV7BM,2026-03-25,12,139.5,129.2,17
L6GF6Z26CV7BM,2026-03-25,13,185.95,147.2,21
L6GF6Z26CV7BM,2026-03-25,14,208.85,179.55,24
L6GF6Z26CV7BM,2026-03-25,15,169.0,166.1,27
L6GF6Z26CV7BM,2026-03-25,16,139.45,128.25,17
L6GF6Z26CV7BM,2026-03-25,17,156.5,154.2,20
L6GF6Z26CV7BM,2026-03-25,18,126.5,116.5,18
L6GF6Z26CV7BM,2026-03-25,19,71.0,67.15,11
