special_drink_general_name,Date,Location,day_of_special,Number of Units,Total Gross Sales
Strawberry Elderflower Matcha Latte,06/07/2025,jenki-spitalfields,32,202.0,1134.1
Strawberry Elderflower Matcha Latte,07/06/2025,jenki-spitalfields,3,128.0,710.5
Strawberry Elderflower Matcha Latte,07/07/2025,jenki-spitalfields,33,37.0,205.0
Strawberry Elderflower Matcha Latte,08/06/2025,jenki-spitalfields,4,157.0,867.0
Strawberry Elderflower Matcha Latte,08/07/2025,jenki-spitalfields,34,138.0,764.8
Strawberry Elderflower Matcha Latte,09/06/2025,jenki-spitalfields,5,49.0,274.0
Strawberry Elderflower Matcha Latte,09/07/2025,jenki-spitalfields,35,193.0,1095.8
Strawberry Elderflower Matcha Latte,10/06/2025,jenki-spitalfields,6,201.0,1116.5
Strawberry Elderflower Matcha Latte,10/07/2025,jenki-spitalfields,36,105.0,585.45
Strawberry Elderflower Matcha Latte,11/06/2025,jenki-spitalfields,7,230.0,1297.15
Strawberry Elderflower Matcha Latte,11/07/2025,jenki-spitalfields,37,189.0,1058.05
Strawberry Elderflower Matcha Latte,12/06/2025,jenki-spitalfields,8,228.0,1277.55
Strawberry Elderflower Matcha Latte,12/07/2025,jenki-spitalfields,38,205.0,1146.75
Strawberry Elderflower Matcha Latte,13/06/2025,jenki-spitalfields,9,220.0,1215.5
Strawberry Elderflower Matcha Latte,13/07/2025,jenki-spitalfields,39,168.0,948.7
Strawberry Elderflower Matcha Latte,14/06/2025,jenki-spitalfields,10,252.0,1405.05
Strawberry Elderflower Matcha Latte,14/07/2025,jenki-spitalfields,40,81.0,460.75
Strawberry Elderflower Matcha Latte,15/06/2025,jenki-spitalfields,11,186.0,1032.3
Strawberry Elderflower Matcha Latte,15/07/2025,jenki-spitalfields,41,146.0,818.3
Strawberry Elderflower Matcha Latte,16/06/2025,jenki-spitalfields,12,155.0,873.25
Strawberry Elderflower Matcha Latte,16/07/2025,jenki-spitalfields,42,133.0,743.8
Strawberry Elderflower Matcha Latte,17/06/2025,jenki-spitalfields,13,218.0,1230.6
Strawberry Elderflower Matcha Latte,17/07/2025,jenki-spitalfields,43,164.0,922.7
Strawberry Elderflower Matcha Latte,18/06/2025,jenki-spitalfields,14,226.0,1278.25
Strawberry Elderflower Matcha Latte,18/07/2025,jenki-spitalfields,44,193.0,1088.4
Strawberry Elderflower Matcha Latte,19/06/2025,jenki-spitalfields,15,147.0,826.35
Strawberry Elderflower Matcha Latte,19/07/2025,jenki-spitalfields,45,162.0,916.35
Strawberry Elderflower Matcha Latte,20/06/2025,jenki-spitalfields,16,197.0,1097.95
Strawberry Elderflower Matcha Latte,20/07/2025,jenki-spitalfields,46,148.0,827.1
Strawberry Elderflower Matcha Latte,21/06/2025,jenki-spitalfields,17,213.0,1190.9
Strawberry Elderflower Matcha Latte,21/07/2025,jenki-spitalfields,47,134.0,759.55
Strawberry Elderflower Matcha Latte,22/06/2025,jenki-spitalfields,18,5.0,34.1
Strawberry Elderflower Matcha Latte,22/07/2025,jenki-spitalfields,48,119.0,670.45
Strawberry Elderflower Matcha Latte,23/07/2025,jenki-spitalfields,49,165.0,931.75
Strawberry Elderflower Matcha Latte,24/06/2025,jenki-spitalfields,20,146.0,821.4
Strawberry Elderflower Matcha Latte,24/07/2025,jenki-spitalfields,50,121.0,688.05
Strawberry Elderflower Matcha Latte,25/06/2025,jenki-spitalfields,21,189.0,1072.3
Strawberry Elderflower Matcha Latte,25/07/2025,jenki-spitalfields,51,165.0,932.05
Strawberry Elderflower Matcha Latte,26/06/2025,jenki-spitalfields,22,176.0,990.05
Strawberry Elderflower Matcha Latte,26/07/2025,jenki-spitalfields,52,207.0,1156.25
Strawberry Elderflower Matcha Latte,27/06/2025,jenki-spitalfields,23,179.0,1007.05
Strawberry Elderflower Matcha Latte,27/07/2025,jenki-spitalfields,53,168.0,943.75
Strawberry Elderflower Matcha Latte,28/06/2025,jenki-spitalfields,24,216.0,1213.4
Strawberry Elderflower Matcha Latte,28/07/2025,jenki-spitalfields,54,144.0,820.5
Strawberry Elderflower Matcha Latte,29/06/2025,jenki-spitalfields,25,229.0,1296.15
Strawberry Elderflower Matcha Latte,29/07/2025,jenki-spitalfields,55,131.0,749.05
Strawberry Elderflower Matcha Latte,30/06/2025,jenki-spitalfields,26,39.0,221.45
Strawberry Elderflower Matcha Latte,30/07/2025,jenki-spitalfields,56,133.0,753.7
Strawberry Elderflower Matcha Latte,31/07/2025,jenki-spitalfields,57,170.0,956.9
