Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LWVAYYMFT3XKP,2026-03-23,8,102.95,91.15,13
LWVAYYMFT3XKP,2026-03-23,9,147.5,122.85,20
LWVAYYMFT3XKP,2026-03-23,10,146.0,124.25,18
LWVAYYMFT3XKP,2026-03-23,11,300.95,299.86,40
LWVAYYMFT3XKP,2026-03-23,12,273.45,253.7,41
LWVAYYMFT3XKP,2026-03-23,13,387.35,341.2,49
LWVAYYMFT3XKP,2026-03-23,14,312.9,267.0,37
LWVAYYMFT3XKP,2026-03-23,15,192.85,159.86,25
LWVAYYMFT3XKP,2026-03-23,16,175.85,138.15,21
LWVAYYMFT3XKP,2026-03-23,17,93.45,85.35,10
LWVAYYMFT3XKP,2026-03-23,18,12.45,0.0,0
