Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LWVAYYMFT3XKP,2026-03-13,8,104.5,90.05,13
LWVAYYMFT3XKP,2026-03-13,9,119.95,93.8,14
LWVAYYMFT3XKP,2026-03-13,10,143.5,114.4,14
LWVAYYMFT3XKP,2026-03-13,11,229.45,222.75,31
LWVAYYMFT3XKP,2026-03-13,12,335.35,304.85,42
LWVAYYMFT3XKP,2026-03-13,13,345.4,293.6,40
LWVAYYMFT3XKP,2026-03-13,14,300.0,283.6,33
LWVAYYMFT3XKP,2026-03-13,15,304.95,292.95,39
LWVAYYMFT3XKP,2026-03-13,16,285.5,249.85,26
LWVAYYMFT3XKP,2026-03-13,17,166.5,140.15,21
LWVAYYMFT3XKP,2026-03-13,18,6.5,6.5,1
