Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LWVAYYMFT3XKP,2026-03-26,8,164.85,160.75,21
LWVAYYMFT3XKP,2026-03-26,9,251.95,221.75,31
LWVAYYMFT3XKP,2026-03-26,10,153.45,145.8,18
LWVAYYMFT3XKP,2026-03-26,11,294.9,231.65,35
LWVAYYMFT3XKP,2026-03-26,12,377.95,353.7,44
LWVAYYMFT3XKP,2026-03-26,13,474.95,426.2,64
LWVAYYMFT3XKP,2026-03-26,14,351.4,327.15,48
LWVAYYMFT3XKP,2026-03-26,15,309.5,276.8,44
LWVAYYMFT3XKP,2026-03-26,16,209.95,198.65,22
LWVAYYMFT3XKP,2026-03-26,17,162.0,112.25,17
