Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LK2EMH64185DE,2026-02-10,8,292.95,163.2,38
LK2EMH64185DE,2026-02-10,9,342.5,185.75,52
LK2EMH64185DE,2026-02-10,10,357.25,197.88,51
LK2EMH64185DE,2026-02-10,11,626.45,389.01,74
LK2EMH64185DE,2026-02-10,12,652.95,332.45,91
LK2EMH64185DE,2026-02-10,13,791.8,447.73,104
LK2EMH64185DE,2026-02-10,14,753.3,424.84,90
LK2EMH64185DE,2026-02-10,15,722.4,381.89,100
LK2EMH64185DE,2026-02-10,16,579.9,312.14,73
LK2EMH64185DE,2026-02-10,17,637.4,403.24,67
LK2EMH64185DE,2026-02-10,18,498.9,283.3,58
