Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LK2EMH64185DE,2026-01-02,8,23.0,10.0,2
LK2EMH64185DE,2026-01-02,9,105.0,85.25,11
LK2EMH64185DE,2026-01-02,10,147.9,145.8,19
LK2EMH64185DE,2026-01-02,11,203.35,200.8,26
LK2EMH64185DE,2026-01-02,12,342.95,318.35,32
LK2EMH64185DE,2026-01-02,13,403.4,410.56,53
LK2EMH64185DE,2026-01-02,14,404.45,386.5,46
LK2EMH64185DE,2026-01-02,15,306.0,284.65,31
LK2EMH64185DE,2026-01-02,16,267.0,259.85,34
LK2EMH64185DE,2026-01-02,17,165.45,131.05,18
LK2EMH64185DE,2026-01-02,18,76.5,77.5,12
