Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LK2EMH64185DE,2026-03-10,8,188.95,190.5,23
LK2EMH64185DE,2026-03-10,9,211.95,189.45,30
LK2EMH64185DE,2026-03-10,10,202.0,189.25,27
LK2EMH64185DE,2026-03-10,11,142.45,125.75,20
LK2EMH64185DE,2026-03-10,12,435.45,391.65,58
LK2EMH64185DE,2026-03-10,13,670.9,606.25,75
LK2EMH64185DE,2026-03-10,14,598.45,560.05,68
LK2EMH64185DE,2026-03-10,15,539.95,510.6,63
LK2EMH64185DE,2026-03-10,16,426.35,380.75,52
LK2EMH64185DE,2026-03-10,17,228.9,185.1,24
LK2EMH64185DE,2026-03-10,18,210.0,202.9,29
