Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LQ4TFTDQYXY3D,2026-01-19,7,59.0,49.55,9
LQ4TFTDQYXY3D,2026-01-19,8,99.0,78.05,14
LQ4TFTDQYXY3D,2026-01-19,9,205.45,197.95,28
LQ4TFTDQYXY3D,2026-01-19,10,141.5,133.5,20
LQ4TFTDQYXY3D,2026-01-19,11,88.5,84.0,13
LQ4TFTDQYXY3D,2026-01-19,12,224.0,202.1,24
LQ4TFTDQYXY3D,2026-01-19,13,176.5,152.5,24
LQ4TFTDQYXY3D,2026-01-19,14,378.0,348.9,37
LQ4TFTDQYXY3D,2026-01-19,15,213.95,154.95,23
LQ4TFTDQYXY3D,2026-01-19,16,190.0,189.9,31
LQ4TFTDQYXY3D,2026-01-19,17,135.5,135.55,17
LQ4TFTDQYXY3D,2026-01-19,18,92.95,88.95,11
LQ4TFTDQYXY3D,2026-01-19,19,62.5,66.5,10
