Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LQ4TFTDQYXY3D,2026-02-05,7,69.0,6.0,1
LQ4TFTDQYXY3D,2026-02-05,8,219.4,191.9,32
LQ4TFTDQYXY3D,2026-02-05,9,188.0,137.0,22
LQ4TFTDQYXY3D,2026-02-05,10,122.0,103.1,16
LQ4TFTDQYXY3D,2026-02-05,11,194.85,176.6,15
LQ4TFTDQYXY3D,2026-02-05,12,148.5,133.95,21
LQ4TFTDQYXY3D,2026-02-05,13,151.45,140.95,24
LQ4TFTDQYXY3D,2026-02-05,14,209.5,200.05,30
LQ4TFTDQYXY3D,2026-02-05,15,303.5,272.5,25
LQ4TFTDQYXY3D,2026-02-05,16,294.4,285.25,35
LQ4TFTDQYXY3D,2026-02-05,17,91.0,85.5,10
LQ4TFTDQYXY3D,2026-02-05,18,191.0,145.5,15
LQ4TFTDQYXY3D,2026-02-05,19,64.5,57.5,8
