Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LQ4TFTDQYXY3D,2026-01-23,7,39.0,34.0,6
LQ4TFTDQYXY3D,2026-01-23,8,88.0,47.5,10
LQ4TFTDQYXY3D,2026-01-23,9,133.45,123.55,21
LQ4TFTDQYXY3D,2026-01-23,10,133.5,134.5,18
LQ4TFTDQYXY3D,2026-01-23,11,151.95,135.9,22
LQ4TFTDQYXY3D,2026-01-23,12,248.45,242.55,25
LQ4TFTDQYXY3D,2026-01-23,13,185.5,172.75,22
LQ4TFTDQYXY3D,2026-01-23,14,168.0,155.5,21
LQ4TFTDQYXY3D,2026-01-23,15,230.95,213.7,25
LQ4TFTDQYXY3D,2026-01-23,16,291.95,268.45,29
LQ4TFTDQYXY3D,2026-01-23,17,135.95,119.76,17
LQ4TFTDQYXY3D,2026-01-23,18,100.5,99.55,13
LQ4TFTDQYXY3D,2026-01-23,19,157.0,127.0,13
